num_passengers,trip_type,purchase_lead,length_of_stay,departure_time,flight_day,flight_duration,long_haul,extra_bags,in_flight_meals,preferred_seats
2,RoundTrip,262,19,7:00,Sat,5.52,"short to medium haul",yes,no,no
1,RoundTrip,112,20,3:00,Sat,5.52,"short to medium haul",no,no,no
2,RoundTrip,243,22,17:00,Wed,5.52,"short to medium haul",yes,no,yes
1,RoundTrip,96,31,4:00,Sat,5.52,"short to medium haul",no,yes,no
2,RoundTrip,68,22,15:00,Wed,5.52,"short to medium haul",yes,yes,no
1,RoundTrip,3,48,20:00,Thu,5.52,"short to medium haul",yes,yes,no
3,RoundTrip,201,33,6:00,Thu,5.52,"short to medium haul",yes,yes,no
2,RoundTrip,238,19,14:00,Mon,5.52,"short to medium haul",yes,yes,no
1,RoundTrip,80,22,4:00,Mon,5.52,"short to medium haul",no,yes,no
1,RoundTrip,378,30,12:00,Sun,5.52,"short to medium haul",no,no,no
2,RoundTrip,185,25,14:00,Tue,5.52,"short to medium haul",yes,yes,yes
1,RoundTrip,8,43,2:00,Sat,5.52,"short to medium haul",yes,yes,yes
4,RoundTrip,265,24,19:00,Mon,5.52,"short to medium haul",yes,yes,no
1,RoundTrip,185,17,14:00,Fri,5.52,"short to medium haul",no,no,no
1,RoundTrip,245,34,4:00,Tue,5.52,"short to medium haul",yes,yes,yes
1,RoundTrip,192,18,14:00,Thu,5.52,"short to medium haul",yes,no,no
1,RoundTrip,259,37,6:00,Sun,5.52,"short to medium haul",no,no,no
1,RoundTrip,19,29,10:00,Sat,5.52,"short to medium haul",no,yes,no
1,RoundTrip,67,155,8:00,Sun,5.52,"short to medium haul",yes,no,no
1,RoundTrip,351,17,3:00,Sun,5.07,"short to medium haul",no,no,no
2,CircleTrip,228,29,23:00,Wed,7.57,"short to medium haul",yes,no,no
1,RoundTrip,21,88,9:00,Wed,6.62,"short to medium haul",yes,yes,no
2,RoundTrip,23,19,8:00,Mon,6.62,"short to medium haul",yes,yes,no
2,RoundTrip,25,27,13:00,Fri,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,16,21,6:00,Thu,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,66,20,7:00,Thu,6.62,"short to medium haul",yes,no,no
1,RoundTrip,51,28,6:00,Fri,6.62,"short to medium haul",no,no,no
2,RoundTrip,37,24,7:00,Mon,6.62,"short to medium haul",yes,no,no
1,RoundTrip,101,19,11:00,Tue,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,19,47,2:00,Tue,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,16,35,23:00,Wed,6.62,"short to medium haul",yes,no,yes
2,RoundTrip,7,82,4:00,Thu,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,5,27,0:00,Fri,6.62,"short to medium haul",no,yes,no
1,RoundTrip,185,34,4:00,Mon,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,21,22,7:00,Fri,6.62,"short to medium haul",yes,no,yes
1,RoundTrip,7,27,4:00,Wed,6.62,"short to medium haul",no,yes,no
1,RoundTrip,33,22,14:00,Sat,6.62,"short to medium haul",yes,no,no
6,RoundTrip,20,22,3:00,Fri,6.62,"short to medium haul",yes,yes,yes
2,RoundTrip,56,21,7:00,Thu,6.62,"short to medium haul",yes,no,no
1,RoundTrip,3,33,1:00,Mon,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,13,26,7:00,Mon,6.62,"short to medium haul",yes,no,no
1,RoundTrip,71,90,7:00,Thu,6.62,"short to medium haul",yes,yes,yes
2,RoundTrip,346,23,8:00,Mon,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,9,84,7:00,Wed,6.62,"short to medium haul",yes,no,no
1,RoundTrip,65,22,14:00,Thu,6.62,"short to medium haul",yes,no,no
